,target,text
853,ham,"\AH POOR BABY!HOPE URFEELING BETTERSN LUV! PROBTHAT OVERDOSE OF WORK HEY GO CAREFUL SPK 2 U SN LOTS OF LOVEJEN XXX.\"""""
5445,ham,"And that's fine, I got enough bud to last most of the night at least"
1597,spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
5214,spam,Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468
4219,ham,U free on sat rite? U wan 2 watch infernal affairs wif me n darren n mayb xy?
1660,ham,No just send to you. Bec you in temple na.
4204,spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!
62,ham,Its a part of checking IQ
57,ham,"Sorry, I'll call later in meeting."
1715,ham,Asking do u knw them or nt? May be ur frnds or classmates?
2407,ham,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
4281,ham,U can call now...
594,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
597,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
958,ham,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
849,spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X"
2203,ham,soon you will have the real thing princess! Do i make you wet? :)
875,spam,"Shop till u Drop, IS IT YOU, either 10K, 5K, å£500 Cash or å£100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary"
5472,ham,Well obviously not because all the people in my cool college life went home ;_;
3938,ham,Y Ì_ wan to go there? C doctor?
2556,ham,Fuck babe ... What happened to you ? How come you never came back?
4284,ham,I pocked you up there before
2524,spam,FREE entry into our å£250 weekly comp just send the word WIN to 80086 NOW. 18 T&C www.txttowin.co.uk
5466,spam,http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ
3167,ham,Ugh hopefully the asus ppl dont randomly do a reformat.
3540,ham,If you are not coughing then its nothing
5557,ham,No. I meant the calculation is the same. That  &lt;#&gt; units at  &lt;#&gt; . This school is really expensive. Have you started practicing your accent. Because its important. And have you decided if you are doing 4years of dental school or if you'll just do the nmde exam.
5209,ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
5372,ham,"Ok., is any problem to u frm him? Wats matter?"
860,ham,In work now. Going have in few min.
4032,ham,I am taking you for italian food. How about a pretty dress with no panties? :)
2194,ham,Hi my email address has changed now it is 
2083,ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
4748,ham,Thanx u darlin!im cool thanx. A few bday drinks 2 nite. 2morrow off! Take care c u soon.xxx
3173,ham,It vl bcum more difficult..
4047,ham,Lol or I could just starve and lose a pound by the end of the day.
3826,spam,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net costå£3.75max 
477,ham,Tension ah?what machi?any problem?
1264,ham,I will see in half an hour
4438,ham,i want to grasp your pretty booty :)
3761,spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
2554,ham,I'll reach in ard 20 mins ok...
4384,spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705
3007,spam,"Loan for any purpose å£500 - å£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
4767,ham,I'm not sure if its still available though
4672,ham,I forgot 2 ask Ì_ all smth.. There's a card on da present lei... How? ÌÏ all want 2 write smth or sign on it?
4797,ham,Just come home. I don't want u to be miserable
3292,ham,A little. Meds say take once every 8 hours. It's only been 5 but pain is back. So I took another. Hope I don't die
3532,ham,"Sorry, I'll call later"
1612,spam,RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!
4086,spam,PRIVATE! Your 2003 Account Statement for 07973788240 shows 800 un-redeemed S. I. M. points. Call 08715203649 Identifier Code: 40533 Expires 31/10/04
2824,spam,"Congratulations - Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
643,ham,Ya very nice. . .be ready on thursday
4001,ham,Did you get any gift? This year i didnt get anything. So bad
5568,ham,Will Ì_ b going to esplanade fr home?
4417,ham,"When you get free, call me"
3597,ham,"Aight, we'll head out in a few"
1522,ham,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
611,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
159,spam,You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810
926,ham,But I'm on a diet. And I ate 1 too many slices of pizza yesterday. Ugh I'm ALWAYS on a diet.
2466,ham,He is world famamus....
3595,ham,Good morning princess! Happy New Year!
1286,ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
805,ham,I dled 3d its very imp
3887,ham,ok....take care.umma to you too...
707,ham,Quite late lar... Ard 12 anyway i wun b drivin...
1962,spam,it to 80488. Your 500 free text messages are valid until 31 December 2005.
1781,ham,";-( oh well, c u later"
4965,spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094507 from land line. Claim 3030. Valid 12hrs only
2247,spam,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls å£1/minMobsmoreLKPOBOX177HP51FL
5272,ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!"
764,ham,"Wishing you and your family Merry \X\"" mas and HAPPY NEW Year in advance.."""
3201,ham,Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
2930,ham,Hi' Test on  &lt;#&gt; rd ....
4027,ham,Lol its ok I didn't remember til last nite
2031,ham,"I noe la... U wana pei bf oso rite... K lor, other days den..."
4727,ham,I (Career Tel) have added u as a contact on INDYAROCKS.COM to send FREE SMS. To remove from phonebook - sms NO to  &lt;#&gt;
1284,ham,But if she.s drinkin i'm ok.
5149,ham,Pls call me da. What happen.
52,ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
1254,ham,What your plan for pongal?
4536,ham,Normally i use to drink more water daily:)
755,ham,So why didnt you holla?
1477,ham,Why you keeping me away like this
520,ham,But that's on ebay it might be less elsewhere.
3750,ham,"Haha... Sounds crazy, dunno can tahan anot..."
155,ham,Aaooooright are you at work?
5488,ham,K. I will sent it again
488,ham,"Depends on quality. If you want the type i sent boye, faded glory, then about 6. If you want ralphs maybe 2"
183,ham,"He will, you guys close?"
4288,ham,"Okay, good, no problem, and thanx!"
4317,ham,S...i will take mokka players only:)
4841,ham,"Awesome, that gonna be soon or later tonight?"
656,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
2040,ham,You always make things bigger than they are
679,ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
269,spam,Ringtone Club: Get the UK singles chart on your mobile each week and choose any top quality ringtone! This message is free of charge.
808,ham,I am taking half day leave bec i am not well
384,spam,"Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX"
3336,ham,I AM AT THE GAS STATION. GO THERE.
529,ham,Jay says that you're a double-faggot
3777,ham,"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
2132,spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
1725,ham,You know there is. I shall speak to you in  &lt;#&gt;  minutes then
5433,ham,You're gonna have to be way more specific than that
1799,ham,"If we hit it off, you can move in with me :)"
392,ham,Morning only i can ok.
4704,ham,Hey anyway i have to :-)
1711,ham,I got your back! Do you have any dislikes in bed?
3963,ham,"If e timing can, then i go w u lor..."
5282,ham,I have gone into get info bt dont know what to do
2689,ham,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u.."
2450,ham,K..give back my thanks.
4636,ham,Oh ho. Is this the first time u use these type of words
1955,ham,"Aight I'll grab something to eat too, text me when you're back at mu"
3945,ham,How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch
4938,ham,Tomarrow i want to got to court. At  &lt;DECIMAL&gt; . So you come to bus stand at 9.
1293,ham,Happy birthday... May all ur dreams come true...
3753,spam,Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com
788,spam,"5 Free Top Polyphonic Tones call 087018728737, National Rate. Get a toppoly tune sent every week, just text SUBPOLY to 81618, å£3 per pole. UnSub 08718727870."
995,ham,Change again... It's e one next to escalator...
4307,ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
835,ham,Good Morning my Dear........... Have a great &amp; successful day.
4691,ham,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
1439,ham,In fact when do you leave? I think addie goes back to school tues or wed
1315,ham,"Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
3422,spam,Had your mobile 10 mths? Update to latest Orange camera/video phones for FREE. Save å£s with Free texts/weekend calls. Text YES for a callback orno to opt out
1296,ham,Sure! I am driving but will reach my destination soon.
3647,ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
2871,ham,See you there! 
4177,ham,Two teams waiting for some players
1127,ham,"Height of \Oh shit....!!\"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay"
5522,ham,Thats cool. I want to please you...
282,ham,Ok. I asked for money how far
4833,ham,I hope your pee burns tonite.
1635,ham,"You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
4205,ham,"Get the door, I'm here"
1028,ham,"Lol you forgot it eh ? Yes, I'll bring it in babe"
1133,ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there."
4662,ham,No. Yes please. Been swimming?
22,ham,So Ì_ pay first lar... Then when is da stock comin...
111,ham,Going for dinner.msg you after.
455,ham,Si si. I think ill go make those oreo truffles.
160,ham,Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life
1733,spam,"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
5197,ham,I like cheap! But iÛ÷m happy to splash out on the wine if it makes you feel better..
236,ham,Or ill be a little closer like at the bus stop on the same street
820,ham,Good afternoon starshine! How's my boytoy? Does he crave me yet? Ache to fuck me ? *sips cappuccino* I miss you babe *teasing kiss*
5539,ham,Just sleeping..and surfing
3348,ham,Oh is it! Which brand?
2328,ham,That day you asked about anand number. Why:-)
3072,ham,Somebody should go to andros and steal ice
2711,ham,"Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
2149,ham,Waaaat?? Lololo ok next time then!
2287,ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
1601,ham,Carlos is taking his sweet time as usual so let me know when you and patty are done/want to smoke and I'll tell him to haul ass
3734,ham,"ItÛ÷s å£6 to get in, is that ok?"
1463,ham,Ok good then i later come find Ì_... C lucky i told Ì_ to go earlier... Later pple take finish Ì_ no more again...
1012,ham,I dunno they close oredi not... ÌÏ v ma fan...
3444,ham,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. .."""
1519,ham,Check wid corect speling i.e. Sarcasm
4827,ham,Lol no. Just trying to make your day a little more interesting
272,spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
493,ham,What class of  &lt;#&gt;  reunion?
1155,ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
3656,ham,Studying. But i.ll be free next weekend.
71,ham,Finished class where are you.
149,ham,Sindu got job in birla soft ..
5020,ham,:-( sad puppy noise
44,ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...
102,ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
1828,ham,May i call You later Pls
2873,ham,Crucify is c not s. You should have told me earlier.
90,ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!
3524,ham,I not free today i haf 2 pick my parents up tonite...
3774,ham,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
2223,spam,"Thanks for your ringtone order, ref number K718. Your mobile will be charged å£4.50. Should your tone not arrive please call customer services on 09065069120"
5566,spam,"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode"
5169,ham,Now i'm going for lunch.
556,ham,Having lunch:)you are not in online?why?
2845,ham,Wat time u finish ur lect today?
359,ham,"Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted"
4959,ham,I want  &lt;#&gt;  rs da:)do you have it?
3218,ham,Me too baby! I promise to treat you well! I bet you will take good care of me...
5196,spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic "
1189,ham,In that case I guess I'll see you at campus lodge
5454,ham,Im just wondering what your doing right now?
2806,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906 
398,ham,"Good evening Sir, Al Salam Wahleykkum.sharing a happy news.By the grace of God, i got an offer from Tayseer,TISSCO and i joined.Hope you are fine.Inshah Allah,meet you sometime.Rakhesh,visitor from India."
3682,ham,When did i use soc... I use it only at home... ÌÏ dunno how 2 type it in word ar...
3491,ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
4894,spam,Want the latest Video handset? 750 anytime any network mins? Half price line rental? Reply or call 08000930705 for delivery tomorrow
737,spam,Hi. Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg
4966,spam,You can donate å£2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. å£2.50 will be added to your next bill
2175,ham,I'm at work. Please call
1206,spam,"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr"
1739,ham,U guys never invite me anywhere :(
3224,ham,I need... Coz i never go before 
1042,ham,Easy ah?sen got selected means its good..
2010,ham,Dunno lei... I thk mum lazy to go out... I neva ask her yet...
732,ham,Lol you won't feel bad when I use her money to take you out to a steak dinner =D
1320,ham,"Just sent again. Do you scream and moan in bed, princess?"
4439,ham,I've got it down to a tea. not sure which flavour
1990,ham,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX
2513,spam,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
3878,ham,She left it very vague. She just said she would inform the person in accounting about the delayed rent and that i should discuss with the housing agency about my renting another place. But checking online now and all places around usc are  &lt;#&gt;  and up
1324,ham,Can you call me plz. Your number shows out of coveragd area. I have urgnt call in vasai &amp; have to reach before 4'o clock so call me plz
3133,ham,Ok going to sleep. Hope i can meet her.
2646,ham,"Em, its olowoyey@ usc.edu have a great time in argentina. Not sad about secretary, everything is a blessing"
323,ham,That would be great. We'll be at the Guild. Could meet on Bristol road or somewhere - will get in touch over weekend. Our plans take flight! Have a good week
3120,ham,Small problem in auction:)punj now asking tiwary
347,ham,One small prestige problem now.
3998,ham,K...k...when will you give treat?
3481,spam,Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow
4499,ham,Nvm take ur time.
3303,ham,IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx
851,ham,"I am real, baby! I want to bring out your inner tigress..."
1726,ham,"\ALRITE HUNNY!WOT U UP 2 2NITE? DIDNT END UP GOIN DOWN TOWN JUS DA PUB INSTEAD! JUS CHILLIN AT DA MO IN ME BEDROOM!LOVE JEN XXX.\"""""
3905,ham,Went fast asleep dear.take care.
2018,ham,Ya it came a while ago
4474,ham,We will meet soon princess! Ttyl!
2121,ham,In xam hall boy asked girl Tell me the starting term for dis answer I can den manage on my own After lot of hesitation n lookin around silently she said THE! intha ponnungale ipaditan;)
5552,ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with
504,spam,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
713,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
2847,ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
3689,ham,What happen dear tell me
5062,ham,Ok i also wan 2 watch e 9 pm show...
293,ham,Are you this much buzy
1040,ham,Today am going to college so am not able to atten the class.
969,ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
1686,spam,todays vodafone numbers ending with 0089(my last four digits) are selected to received a å£350 award. If your number matches please call 09063442151 to claim your å£350 award
1354,ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...
1740,spam,UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofå£2000 CASH 18+only. To opt out txt X to 07786200117
1041,ham,I'm in class. Will holla later
3022,ham,You are a very very very very bad girl. Or lady.
940,ham,No we sell it all so we'll have tons if coins. Then sell our coins to someone thru paypal. Voila! Money back in life pockets:)
261,ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.
2324,ham,Ok lor.
2817,ham,Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
1136,spam,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
2921,ham,I've not sent it. He can send me.
4345,ham,You still around? I could use a half-8th
2906,ham,ALRITE
729,ham,Dunno y u ask me.
4670,ham,"Probably not, I'm almost out of gas and I get some cash tomorrow"
759,ham,"Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts"
4396,ham,When did dad get back.
1830,ham,That's the way you should stay oh.
5494,ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in."
2612,ham,Yes. It's all innocent fun. O:-)
2548,ham,Honestly i've just made a lovely cup of tea and promptly dropped my keys in it and then burnt my fingers getting them out!
3650,ham,Want to send me a virtual hug?... I need one
5084,ham,Hey happy birthday...
3591,ham,I anything lor...
2927,ham,Anything...
1161,ham,K. I will sent it again
827,ham,Hey. You got any mail?
2949,ham,Where are you ? You said you would be here when I woke ... :-(
5341,ham,And of course you should make a stink!
1959,ham,Howz that persons story
1642,ham,Sleeping nt feeling well
1249,ham,"I call you later, don't have network. If urgnt, sms me."
226,spam,"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES"
5460,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
1863,ham,I'll let you know when it kicks in
2316,ham,That's cause your old. I live to be high.
3298,ham,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)"
4548,ham,"Haha, my friend tyler literally just asked if you could get him a dubsack"
75,ham,I am waiting machan. Call me once you free.
4402,ham,Just getting back home
3865,ham,"Theoretically yeah, he could be able to come"
401,ham,Dear how is chechi. Did you talk to her
5281,ham,"And how you will do that, princess? :)"
1235,ham,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
3583,spam,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY å£10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&
1196,ham,What he said is not the matter. My mind saying some other matter is there.
2417,ham,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can... 
4913,ham,You've already got a flaky parent. It'snot supposed to be the child's job to support the parent...not until they're The Ride age anyway. I'm supposed to be there to support you. And now i've hurt you. unintentional. But hurt nonetheless.
2522,ham,Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar
4758,spam,Thanks 4 your continued support Your question this week will enter u in2 our draw 4 å£100 cash. Name the NEW US President? txt ans to 80082
1492,ham,In the end she might still vomit but its okay. Not everything will come out.
708,spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
1149,ham,Not a drop in the tank
773,ham,I wil be there with in  &lt;#&gt;  minutes. Got any space
2295,ham,HI DARLIN IM MISSIN U HOPE YOU ARE HAVING A GOOD TIME. WHEN ARE U BACK AND WHAT TIME IF U CAN GIVE ME A CALL AT HOME. JESS XX
5226,ham,Prabha..i'm soryda..realy..frm heart i'm sory
2647,ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
1171,spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
1628,ham,Yes princess! I want to make you happy...
5405,ham,So how many days since then?
4982,ham,Networking job is there.
2039,ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
1166,ham,I am not having her number sir
4463,ham,Ranjith cal drpd Deeraj and deepak 5min hold
540,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
2313,ham,So what do you guys do.
3180,ham,"So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. take cr da"
107,ham,How would my ip address test that considering my computer isn't a minecraft server
4711,ham,Thats cool princess! I will cover your face in hot sticky cum :)
4725,ham,Jason says it's cool if we pick some up from his place in like an hour
3426,ham,Haha okay... Today weekend leh... 
1159,ham,Yun buying... But school got offer 2000 plus only...
3558,spam,URGENT! We are trying to contact U Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm
5362,ham,I'm in inside office..still filling forms.don know when they leave me.
5068,ham,Hai dear friends... This is my new &amp; present number..:) By Rajitha Raj (Ranju)
1255,ham,Just wait till end of march when el nino gets himself. Oh.
318,spam,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906
352,ham,"TODAY is Sorry day.! If ever i was angry with you, if ever i misbehaved or hurt you? plz plz JUST SLAP URSELF Bcoz, Its ur fault, I'm basically GOOD"
3566,spam,Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + å£200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com
4000,ham,He's just gonna worry for nothing. And he won't give you money its no use.
1699,ham,Ok...
4267,ham,Hey so whats the plan this sat? 
1505,ham,Total video converter free download type this in google search:)
26,ham,Lol your always so convincing.
897,ham,"I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment."
2146,ham,So can collect ur laptop?
2378,ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com"
1805,ham,God bless.get good sleep my dear...i will pray!
5041,spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
1495,ham,Hey gals.. Anyone of u going down to e driving centre tmr?
2361,ham,Hi. I'm sorry i missed your call. Can you pls call back.
3737,ham,We stopped to get ice cream and will go back after
2004,ham,"Goodmorning, today i am late for  &lt;DECIMAL&gt; min."
430,ham,At home watching tv lor.
4639,ham,Do you hide anythiing or keeping distance from me
4386,ham,S.i'm watching it in live..
1773,ham,"I'm not coming over, do whatever you want"
2100,ham,Oh Howda gud gud.. Mathe en samachara chikku:-)
1777,spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase
1919,ham,Yar i wanted 2 scold u yest but late already... I where got zhong se qing you? If u ask me b4 he ask me then i'll go out w u all lor. N u still can act so real.
249,spam,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
76,ham,Thats cool. i am a gentleman and will treat you with dignity and respect.
3552,ham,Din i tell u jus now 420
5187,ham,WHAT TIME U WRKIN?
4434,spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
852,ham,No da if you run that it activate the full version da.
3286,ham,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
3696,spam,You are a winner you have been specially selected to receive å£1000 cash or a å£2000 award. Speak to a live operator to claim call 087147123779am-7pm. Cost 10p
3157,ham,Thank u. IT BETTER WORK OUT CAUSE I WILL FEEL USED OTHERWISE
2810,ham,Thinkin about someone is all good. No drugs for that
3465,ham,"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though"
